"","DATE","HOME_TEAM","AWAY_TEAM","WINNER","0","1"
"1","2014-10-28","LAL","HOU","AWAY",69,48
"2","2014-10-28","NOP","ORL","HOME",97,65
"3","2014-10-28","SAS","DAL","HOME",69,68
"4","2014-10-29","BOS","BKN","HOME",74,80
"5","2014-10-29","CHA","MIL","HOME",92,69
"6","2014-10-29","DEN","DET","HOME",88,48
"7","2014-10-29","IND","PHI","HOME",66,45
"8","2014-10-29","MEM","MIN","HOME",66,72
"9","2014-10-29","MIA","WAS","HOME",78,67
"10","2014-10-29","NYK","CHI","AWAY",62,55
"11","2014-10-29","PHX","LAL","HOME",75,71
"12","2014-10-29","POR","OKC","HOME",67,58
"13","2014-10-29","SAC","GSW","AWAY",93,54
"14","2014-10-29","TOR","ATL","HOME",76,71
"15","2014-10-29","UTA","HOU","AWAY",64,64
"16","2014-10-30","CLE","NYK","AWAY",55,51
"17","2014-10-30","DAL","UTA","HOME",63,68
"18","2014-10-30","LAC","OKC","HOME",70,49
"19","2014-10-30","MIN","DET","HOME",60,52
"20","2014-10-30","ORL","WAS","AWAY",66,69
"21","2014-10-31","CHI","CLE","AWAY",93,70
"22","2014-10-31","IND","MEM","AWAY",75,65
"23","2014-10-31","LAL","LAC","AWAY",72,75
"24","2014-10-31","MIL","PHI","HOME",63,50
"25","2014-10-31","PHX","SAS","HOME",87,62
"26","2014-10-31","SAC","POR","HOME",86,61
"27","2014-11-01","ATL","IND","HOME",81,61
"28","2014-11-01","CHA","MEM","AWAY",91,54
"29","2014-11-01","DET","BKN","AWAY",79,68
"30","2014-11-01","GSW","LAL","HOME",80,85
"31","2014-11-01","HOU","BOS","HOME",82,49
"32","2014-11-01","MIN","CHI","AWAY",52,47
"33","2014-11-01","NOP","DAL","AWAY",78,74
"34","2014-11-01","OKC","DEN","HOME",58,53
"35","2014-11-01","ORL","TOR","AWAY",77,54
"36","2014-11-01","PHI","MIA","AWAY",59,54
"37","2014-11-01","UTA","PHX","HOME",80,66
"38","2014-11-01","WAS","MIL","HOME",55,61
"39","2014-11-02","LAC","SAC","AWAY",85,67
"40","2014-11-02","MIA","TOR","HOME",62,59
"41","2014-11-02","NYK","CHA","HOME",64,64
"42","2014-11-02","POR","GSW","AWAY",89,60
"43","2014-11-03","BKN","OKC","HOME",65,60
"44","2014-11-03","DAL","BOS","HOME",82,82
"45","2014-11-03","DEN","SAC","AWAY",96,61
"46","2014-11-03","LAC","UTA","HOME",66,67
"47","2014-11-03","MEM","NOP","HOME",81,45
"48","2014-11-03","PHI","HOU","AWAY",46,41
"49","2014-11-04","CHI","ORL","HOME",81,65
"50","2014-11-04","IND","MIL","AWAY",73,59
"51","2014-11-04","LAL","PHX","AWAY",96,74
"52","2014-11-04","MIA","HOU","AWAY",69,60
"53","2014-11-04","NOP","CHA","HOME",74,68
"54","2014-11-04","NYK","WAS","AWAY",72,56
"55","2014-11-04","POR","CLE","HOME",72,51
"56","2014-11-04","TOR","OKC","HOME",59,48
"57","2014-11-05","BKN","MIN","AWAY",71,55
"58","2014-11-05","BOS","TOR","AWAY",64,65
"59","2014-11-05","CHA","MIA","HOME",86,60
"60","2014-11-05","DET","NYK","HOME",81,62
"61","2014-11-05","GSW","LAC","HOME",70,74
"62","2014-11-05","MIL","CHI","AWAY",77,53
"63","2014-11-05","PHI","ORL","AWAY",64,47
"64","2014-11-05","PHX","MEM","AWAY",67,68
"65","2014-11-05","SAC","DEN","HOME",71,66
"66","2014-11-05","SAS","ATL","HOME",87,67
"67","2014-11-05","UTA","CLE","HOME",62,59
"68","2014-11-05","WAS","IND","HOME",102,64
"69","2014-11-06","HOU","SAS","HOME",63,51
"70","2014-11-06","POR","DAL","HOME",73,62
"71","2014-11-07","BKN","NYK","HOME",77,62
"72","2014-11-07","BOS","IND","HOME",79,69
"73","2014-11-07","CHA","ATL","HOME",96,90
"74","2014-11-07","DEN","CLE","AWAY",69,54
"75","2014-11-07","DET","MIL","HOME",54,52
"76","2014-11-07","OKC","MEM","AWAY",77,65
"77","2014-11-07","ORL","MIN","HOME",63,55
"78","2014-11-07","PHI","CHI","AWAY",53,52
"79","2014-11-07","PHX","SAC","AWAY",99,74
"80","2014-11-07","TOR","WAS","HOME",89,55
"81","2014-11-07","UTA","DAL","AWAY",66,54
"82","2014-11-08","ATL","NYK","HOME",79,58
"83","2014-11-08","CHI","BOS","AWAY",75,73
"84","2014-11-08","HOU","GSW","AWAY",93,59
"85","2014-11-08","IND","WAS","AWAY",80,66
"86","2014-11-08","LAC","POR","HOME",79,69
"87","2014-11-08","MIA","MIN","HOME",72,65
"88","2014-11-08","MIL","MEM","HOME",73,51
"89","2014-11-08","SAS","NOP","AWAY",74,68
"90","2014-11-09","BKN","ORL","HOME",71,70
"91","2014-11-09","DAL","MIA","AWAY",75,64
"92","2014-11-09","DET","UTA","AWAY",81,57
"93","2014-11-09","LAL","CHA","HOME",80,76
"94","2014-11-09","OKC","SAC","HOME",74,61
"95","2014-11-09","PHX","GSW","HOME",77,61
"96","2014-11-09","POR","DEN","HOME",92,69
"97","2014-11-09","TOR","PHI","HOME",51,50
"98","2014-11-10","CHI","DET","HOME",77,63
"99","2014-11-10","CLE","NOP","HOME",78,68
"100","2014-11-10","IND","UTA","HOME",78,56
"101","2014-11-10","LAC","SAS","AWAY",90,66
"102","2014-11-10","NYK","ATL","AWAY",76,51
"103","2014-11-11","DAL","SAC","HOME",75,63
"104","2014-11-11","GSW","SAS","AWAY",75,83
"105","2014-11-11","MEM","LAL","HOME",81,81
"106","2014-11-11","MIL","OKC","HOME",75,49
"107","2014-11-11","POR","CHA","HOME",82,68
"108","2014-11-11","TOR","ORL","HOME",68,65
"109","2014-11-12","ATL","UTA","HOME",70,71
"110","2014-11-12","BOS","OKC","AWAY",74,64
"111","2014-11-12","DEN","POR","AWAY",78,70
"112","2014-11-12","MIA","IND","AWAY",78,53
"113","2014-11-12","NOP","LAL","HOME",75,71
"114","2014-11-12","NYK","ORL","AWAY",61,50
"115","2014-11-12","PHX","BKN","HOME",76,70
"116","2014-11-12","WAS","DET","HOME",79,74
"117","2014-11-13","DAL","PHI","HOME",65,51
"118","2014-11-13","GSW","BKN","HOME",98,80
"119","2014-11-13","MEM","SAC","HOME",74,72
"120","2014-11-13","TOR","CHI","AWAY",74,64
"121","2014-11-14","ATL","MIA","HOME",69,71
"122","2014-11-14","BOS","CLE","AWAY",68,77
"123","2014-11-14","HOU","PHI","HOME",61,47
"124","2014-11-14","IND","DEN","AWAY",83,59
"125","2014-11-14","LAL","SAS","AWAY",81,54
"126","2014-11-14","NOP","MIN","HOME",53,63
"127","2014-11-14","NYK","UTA","AWAY",62,63
"128","2014-11-14","OKC","DET","AWAY",90,67
"129","2014-11-14","ORL","MIL","HOME",70,57
"130","2014-11-14","PHX","CHA","AWAY",91,67
"131","2014-11-15","CHI","IND","AWAY",77,59
"132","2014-11-15","CLE","ATL","HOME",61,64
"133","2014-11-15","DAL","MIN","HOME",63,69
"134","2014-11-15","GSW","CHA","HOME",81,69
"135","2014-11-15","LAC","PHX","HOME",87,69
"136","2014-11-15","MEM","DET","HOME",89,59
"137","2014-11-15","POR","BKN","HOME",85,54
"138","2014-11-15","SAC","SAS","HOME",94,71
"139","2014-11-15","TOR","UTA","HOME",68,62
"140","2014-11-15","WAS","ORL","HOME",80,76
"141","2014-11-16","LAL","GSW","AWAY",89,78
"142","2014-11-16","MIA","MIL","AWAY",69,53
"143","2014-11-16","NYK","DEN","HOME",72,59
"144","2014-11-16","OKC","HOU","AWAY",82,33
"145","2014-11-17","BKN","MIA","AWAY",78,57
"146","2014-11-17","BOS","PHX","AWAY",77,81
"147","2014-11-17","CHA","DAL","AWAY",71,59
"148","2014-11-17","CLE","DEN","AWAY",74,65
"149","2014-11-17","DET","ORL","AWAY",72,63
"150","2014-11-17","LAC","CHI","AWAY",78,69
"151","2014-11-17","MEM","HOU","HOME",62,64
"152","2014-11-17","POR","NOP","HOME",75,67
"153","2014-11-17","SAS","PHI","HOME",69,51
"154","2014-11-18","ATL","LAL","AWAY",80,86
"155","2014-11-18","MIL","NYK","HOME",52,60
"156","2014-11-18","SAC","NOP","AWAY",77,69
"157","2014-11-18","UTA","OKC","HOME",84,55
"158","2014-11-19","BKN","MIL","AWAY",94,75
"159","2014-11-19","CLE","SAS","AWAY",73,58
"160","2014-11-19","DEN","OKC","HOME",74,61
"161","2014-11-19","DET","PHX","AWAY",83,66
"162","2014-11-19","HOU","LAL","AWAY",91,64
"163","2014-11-19","IND","CHA","HOME",84,67
"164","2014-11-19","MIN","NYK","HOME",58,56
"165","2014-11-19","ORL","LAC","AWAY",70,68
"166","2014-11-19","PHI","BOS","AWAY",73,61
"167","2014-11-19","TOR","MEM","HOME",70,53
"168","2014-11-19","WAS","DAL","AWAY",83,62
"169","2014-11-20","MIA","LAC","AWAY",59,66
"170","2014-11-20","SAC","CHI","HOME",73,70
"171","2014-11-21","ATL","DET","HOME",80,61
"172","2014-11-21","CHA","ORL","AWAY",89,76
"173","2014-11-21","DAL","LAL","HOME",62,80
"174","2014-11-21","DEN","NOP","HOME",66,57
"175","2014-11-21","GSW","UTA","HOME",69,66
"176","2014-11-21","MEM","BOS","HOME",76,80
"177","2014-11-21","MIN","SAS","AWAY",73,72
"178","2014-11-21","OKC","BKN","AWAY",74,64
"179","2014-11-21","PHI","PHX","AWAY",56,54
"180","2014-11-21","POR","CHI","HOME",64,52
"181","2014-11-21","TOR","MIL","HOME",52,45
"182","2014-11-21","WAS","CLE","HOME",79,63
"183","2014-11-22","CLE","TOR","AWAY",72,51
"184","2014-11-22","HOU","DAL","HOME",92,53
"185","2014-11-22","IND","PHX","AWAY",81,53
"186","2014-11-22","MIL","WAS","AWAY",82,67
"187","2014-11-22","MIN","SAC","AWAY",88,72
"188","2014-11-22","NYK","PHI","HOME",52,50
"189","2014-11-22","ORL","MIA","AWAY",62,66
"190","2014-11-22","SAS","BKN","HOME",87,72
"191","2014-11-22","UTA","NOP","AWAY",67,64
"192","2014-11-23","BOS","POR","AWAY",98,62
"193","2014-11-23","LAL","DEN","AWAY",106,66
"194","2014-11-23","MEM","LAC","HOME",80,70
"195","2014-11-23","MIA","CHA","HOME",69,69
"196","2014-11-23","OKC","GSW","AWAY",104,58
"197","2014-11-24","CHA","LAC","AWAY",84,74
"198","2014-11-24","CLE","ORL","HOME",58,48
"199","2014-11-24","DAL","IND","AWAY",68,61
"200","2014-11-24","HOU","NYK","HOME",64,52
"201","2014-11-24","PHI","POR","AWAY",65,63
"202","2014-11-24","TOR","PHX","HOME",74,65
"203","2014-11-24","UTA","CHI","AWAY",69,74
"204","2014-11-25","DEN","CHI","HOME",79,70
"205","2014-11-25","MIA","GSW","AWAY",82,75
"206","2014-11-25","MIL","DET","HOME",68,53
"207","2014-11-25","NOP","SAC","AWAY",76,65
"208","2014-11-25","WAS","ATL","AWAY",90,64
"209","2014-11-26","ATL","TOR","AWAY",64,74
"210","2014-11-26","CHA","POR","AWAY",96,71
"211","2014-11-26","CLE","WAS","HOME",59,59
"212","2014-11-26","DAL","NYK","HOME",79,56
"213","2014-11-26","DET","LAC","AWAY",64,59
"214","2014-11-26","HOU","SAC","HOME",80,60
"215","2014-11-26","LAL","MEM","AWAY",84,66
"216","2014-11-26","MIN","MIL","AWAY",68,46
"217","2014-11-26","OKC","UTA","HOME",71,63
"218","2014-11-26","ORL","GSW","AWAY",81,75
"219","2014-11-26","PHI","BKN","AWAY",69,60
"220","2014-11-26","PHX","DEN","HOME",88,81
"221","2014-11-26","SAS","IND","HOME",76,73
"222","2014-11-28","ATL","NOP","HOME",74,70
"223","2014-11-28","BOS","CHI","AWAY",92,69
"224","2014-11-28","CHA","GSW","AWAY",93,75
"225","2014-11-28","DEN","PHX","HOME",75,55
"226","2014-11-28","DET","MIL","AWAY",60,48
"227","2014-11-28","HOU","LAC","AWAY",74,54
"228","2014-11-28","IND","ORL","HOME",86,68
"229","2014-11-28","LAL","MIN","AWAY",71,87
"230","2014-11-28","OKC","NYK","HOME",65,54
"231","2014-11-28","POR","MEM","AWAY",88,74
"232","2014-11-28","SAS","SAC","HOME",75,75
"233","2014-11-28","TOR","DAL","AWAY",86,75
"234","2014-11-29","ATL","CHA","HOME",68,50
"235","2014-11-29","CLE","IND","HOME",75,68
"236","2014-11-29","MIL","HOU","AWAY",58,57
"237","2014-11-29","PHI","DAL","AWAY",88,68
"238","2014-11-29","UTA","LAC","AWAY",67,75
"239","2014-11-29","WAS","NOP","HOME",82,59
"240","2014-11-30","BKN","CHI","AWAY",78,61
"241","2014-11-30","BOS","SAS","AWAY",87,70
"242","2014-11-30","DET","GSW","AWAY",86,62
"243","2014-11-30","LAL","TOR","HOME",107,91
"244","2014-11-30","NYK","MIA","AWAY",77,55
"245","2014-11-30","PHX","ORL","AWAY",85,60
"246","2014-11-30","POR","MIN","HOME",83,70
"247","2014-11-30","SAC","MEM","AWAY",74,63
"248","2014-12-01","LAC","MIN","HOME",71,66
"249","2014-12-01","PHI","SAS","AWAY",78,62
"250","2014-12-01","UTA","DEN","AWAY",79,67
"251","2014-12-01","WAS","MIA","HOME",63,65
"252","2014-12-02","ATL","BOS","HOME",73,83
"253","2014-12-02","CHI","DAL","AWAY",100,84
"254","2014-12-02","CLE","MIL","HOME",64,64
"255","2014-12-02","DEN","POR","AWAY",79,78
"256","2014-12-02","DET","LAL","AWAY",81,62
"257","2014-12-02","GSW","ORL","HOME",86,74
"258","2014-12-02","NOP","OKC","HOME",84,66
"259","2014-12-02","NYK","BKN","AWAY",88,69
"260","2014-12-02","PHX","IND","HOME",81,77
"261","2014-12-02","SAC","TOR","AWAY",79,79
"262","2014-12-03","BKN","SAS","HOME",118,73
"263","2014-12-03","BOS","DET","HOME",102,63
"264","2014-12-03","CHA","CHI","AWAY",89,69
"265","2014-12-03","HOU","MEM","HOME",60,63
"266","2014-12-03","LAC","ORL","HOME",61,66
"267","2014-12-03","MIA","ATL","AWAY",54,71
"268","2014-12-03","MIL","DAL","AWAY",75,62
"269","2014-12-03","MIN","PHI","AWAY",95,59
"270","2014-12-03","UTA","TOR","AWAY",72,84
"271","2014-12-03","WAS","LAL","HOME",98,78
"272","2014-12-04","GSW","NOP","HOME",98,78
"273","2014-12-04","NYK","CLE","AWAY",72,56
"274","2014-12-04","POR","IND","HOME",100,66
"275","2014-12-05","BKN","ATL","AWAY",78,57
"276","2014-12-05","BOS","LAL","HOME",83,77
"277","2014-12-05","CHA","NYK","HOME",74,67
"278","2014-12-05","DAL","PHX","AWAY",75,76
"279","2014-12-05","MEM","SAS","AWAY",84,69
"280","2014-12-05","MIL","MIA","HOME",58,49
"281","2014-12-05","MIN","HOU","AWAY",74,72
"282","2014-12-05","PHI","OKC","AWAY",78,63
"283","2014-12-05","SAC","IND","HOME",101,69
"284","2014-12-05","TOR","CLE","AWAY",84,67
"285","2014-12-05","UTA","ORL","AWAY",70,64
"286","2014-12-05","WAS","DEN","HOME",83,72
"287","2014-12-06","CHI","GSW","AWAY",92,74
"288","2014-12-06","DET","PHI","AWAY",84,58
"289","2014-12-06","HOU","PHX","HOME",96,59
"290","2014-12-06","LAC","NOP","HOME",61,76
"291","2014-12-06","SAC","ORL","AWAY",76,71
"292","2014-12-06","SAS","MIN","HOME",68,73
"293","2014-12-07","ATL","DEN","HOME",101,67
"294","2014-12-07","BOS","WAS","HOME",99,65
"295","2014-12-07","DAL","MIL","HOME",59,68
"296","2014-12-07","DET","OKC","AWAY",69,58
"297","2014-12-07","LAL","NOP","AWAY",84,75
"298","2014-12-07","MEM","MIA","HOME",62,73
"299","2014-12-07","NYK","POR","AWAY",69,57
"300","2014-12-08","BKN","CLE","AWAY",70,54
"301","2014-12-08","IND","ATL","AWAY",78,75
"302","2014-12-08","LAC","PHX","HOME",93,82
"303","2014-12-08","MIN","GSW","AWAY",90,65
"304","2014-12-08","SAC","UTA","HOME",75,60
"305","2014-12-08","TOR","DEN","HOME",97,83
"306","2014-12-08","WAS","BOS","HOME",91,95
"307","2014-12-09","CLE","TOR","HOME",69,67
"308","2014-12-09","DET","POR","AWAY",84,67
"309","2014-12-09","LAL","SAC","HOME",95,67
"310","2014-12-09","MEM","DAL","HOME",82,62
"311","2014-12-09","NOP","NYK","HOME",55,65
"312","2014-12-09","OKC","MIL","HOME",70,55
"313","2014-12-09","PHX","MIA","AWAY",71,71
"314","2014-12-09","UTA","SAS","HOME",76,72
"315","2014-12-10","ATL","PHI","HOME",82,56
"316","2014-12-10","CHA","BOS","HOME",93,66
"317","2014-12-10","CHI","BKN","HOME",79,55
"318","2014-12-10","DAL","NOP","HOME",77,77
"319","2014-12-10","DEN","MIA","HOME",83,56
"320","2014-12-10","GSW","HOU","HOME",88,72
"321","2014-12-10","IND","LAC","AWAY",100,77
"322","2014-12-10","MIN","POR","HOME",82,51
"323","2014-12-10","ORL","WAS","AWAY",83,74
"324","2014-12-10","SAS","NYK","HOME",59,57
"325","2014-12-11","OKC","CLE","HOME",75,54
"326","2014-12-11","SAC","HOU","AWAY",93,69
"327","2014-12-12","ATL","ORL","HOME",84,59
"328","2014-12-12","BKN","PHI","HOME",69,47
"329","2014-12-12","BOS","NYK","AWAY",84,71
"330","2014-12-12","CHI","POR","HOME",78,80
"331","2014-12-12","MEM","CHA","HOME",96,76
"332","2014-12-12","MIN","OKC","AWAY",77,70
"333","2014-12-12","NOP","CLE","HOME",71,77
"334","2014-12-12","PHX","DET","AWAY",69,64
"335","2014-12-12","SAS","LAL","AWAY",97,82
"336","2014-12-12","TOR","IND","HOME",95,69
"337","2014-12-12","UTA","MIA","AWAY",59,57
"338","2014-12-12","WAS","LAC","HOME",83,70
"339","2014-12-13","CHA","BKN","AWAY",66,63
"340","2014-12-13","DAL","GSW","AWAY",87,67
"341","2014-12-13","HOU","DEN","HOME",95,72
"342","2014-12-13","IND","POR","AWAY",104,68
"343","2014-12-13","MIL","LAC","HOME",75,67
"344","2014-12-13","ORL","ATL","HOME",84,71
"345","2014-12-13","PHI","MEM","AWAY",77,70
"346","2014-12-13","SAC","DET","AWAY",88,54
"347","2014-12-14","DEN","SAS","AWAY",84,63
"348","2014-12-14","MIA","CHI","AWAY",76,46
"349","2014-12-14","MIN","LAL","AWAY",94,68
"350","2014-12-14","NOP","GSW","AWAY",87,82
"351","2014-12-14","NYK","TOR","AWAY",89,65
"352","2014-12-14","OKC","PHX","HOME",68,44
"353","2014-12-14","WAS","UTA","HOME",79,64
"354","2014-12-15","ATL","CHI","HOME",98,64
"355","2014-12-15","CLE","CHA","HOME",75,69
"356","2014-12-15","IND","LAL","HOME",97,68
"357","2014-12-15","LAC","DET","HOME",67,64
"358","2014-12-15","PHI","BOS","AWAY",94,65
"359","2014-12-15","PHX","MIL","AWAY",74,59
"360","2014-12-15","POR","SAS","HOME",74,64
"361","2014-12-15","TOR","ORL","HOME",79,69
"362","2014-12-16","BKN","MIA","AWAY",76,57
"363","2014-12-16","MEM","GSW","HOME",99,79
"364","2014-12-16","NOP","UTA","HOME",58,77
"365","2014-12-16","NYK","DAL","AWAY",85,73
"366","2014-12-16","SAC","OKC","AWAY",77,60
"367","2014-12-16","WAS","MIN","HOME",83,75
"368","2014-12-17","BOS","ORL","HOME",71,70
"369","2014-12-17","CHA","PHX","AWAY",84,81
"370","2014-12-17","CLE","ATL","AWAY",54,64
"371","2014-12-17","DEN","HOU","AWAY",101,72
"372","2014-12-17","DET","DAL","AWAY",74,70
"373","2014-12-17","LAC","IND","HOME",93,74
"374","2014-12-17","MIA","UTA","AWAY",67,55
"375","2014-12-17","POR","MIL","HOME",78,63
"376","2014-12-17","SAS","MEM","AWAY",109,85
"377","2014-12-17","TOR","BKN","HOME",81,69
"378","2014-12-18","CHI","NYK","HOME",78,68
"379","2014-12-18","GSW","OKC","HOME",80,75
"380","2014-12-18","HOU","NOP","AWAY",82,61
"381","2014-12-18","SAC","MIL","AWAY",63,70
"382","2014-12-19","BOS","MIN","HOME",83,85
"383","2014-12-19","CLE","BKN","HOME",68,59
"384","2014-12-19","DEN","LAC","HOME",86,76
"385","2014-12-19","DET","TOR","AWAY",86,70
"386","2014-12-19","LAL","OKC","AWAY",89,78
"387","2014-12-19","MEM","CHI","AWAY",85,63
"388","2014-12-19","MIA","WAS","AWAY",70,75
"389","2014-12-19","ORL","UTA","AWAY",71,69
"390","2014-12-19","PHI","CHA","AWAY",83,69
"391","2014-12-19","SAS","POR","AWAY",111,76
"392","2014-12-20","CHA","UTA","HOME",74,69
"393","2014-12-20","DAL","SAS","HOME",77,59
"394","2014-12-20","DEN","IND","HOME",113,57
"395","2014-12-20","HOU","ATL","AWAY",83,66
"396","2014-12-20","LAC","MIL","HOME",78,68
"397","2014-12-20","NOP","POR","AWAY",77,59
"398","2014-12-20","NYK","PHX","AWAY",91,68
"399","2014-12-21","BKN","DET","HOME",67,65
"400","2014-12-21","CLE","MEM","HOME",57,61
"401","2014-12-21","MIA","BOS","HOME",76,64
"402","2014-12-21","MIN","IND","AWAY",82,78
"403","2014-12-21","OKC","NOP","AWAY",85,74
"404","2014-12-21","ORL","PHI","AWAY",84,67
"405","2014-12-21","SAC","LAL","HOME",93,71
"406","2014-12-21","TOR","NYK","HOME",82,81
"407","2014-12-21","WAS","PHX","AWAY",84,72
"408","2014-12-22","CHA","DEN","HOME",69,64
"409","2014-12-22","CHI","TOR","HOME",86,82
"410","2014-12-22","DAL","ATL","AWAY",78,72
"411","2014-12-22","GSW","SAC","HOME",73,73
"412","2014-12-22","HOU","POR","HOME",64,60
"413","2014-12-22","MEM","UTA","AWAY",73,61
"414","2014-12-22","SAS","LAC","HOME",68,86
"415","2014-12-23","ATL","LAC","HOME",95,70
"416","2014-12-23","BKN","DEN","HOME",86,70
"417","2014-12-23","CLE","MIN","HOME",77,72
"418","2014-12-23","IND","NOP","HOME",82,65
"419","2014-12-23","LAL","GSW","HOME",71,71
"420","2014-12-23","MIA","PHI","AWAY",84,64
"421","2014-12-23","MIL","CHA","AWAY",71,65
"422","2014-12-23","OKC","POR","AWAY",93,81
"423","2014-12-23","ORL","BOS","HOME",83,64
"424","2014-12-23","PHX","DAL","HOME",89,78
"425","2014-12-23","WAS","CHI","AWAY",93,75
"426","2014-12-25","CHI","LAL","HOME",92,74
"427","2014-12-25","LAC","GSW","HOME",96,60
"428","2014-12-25","NYK","WAS","AWAY",84,79
"429","2014-12-25","SAS","OKC","AWAY",71,72
"430","2014-12-26","ATL","MIL","AWAY",70,60
"431","2014-12-26","BOS","BKN","AWAY",74,79
"432","2014-12-26","DAL","LAL","HOME",94,66
"433","2014-12-26","DEN","MIN","HOME",115,78
"434","2014-12-26","DET","IND","HOME",68,78
"435","2014-12-26","MEM","HOU","AWAY",79,60
"436","2014-12-26","NOP","SAS","HOME",70,65
"437","2014-12-26","OKC","CHA","HOME",91,53
"438","2014-12-26","ORL","CLE","AWAY",76,60
"439","2014-12-26","POR","PHI","HOME",69,57
"440","2014-12-26","SAC","PHX","AWAY",90,81
"441","2014-12-27","BKN","IND","AWAY",80,62
"442","2014-12-27","CHA","ORL","AWAY",92,73
"443","2014-12-27","CHI","NOP","HOME",83,77
"444","2014-12-27","GSW","MIN","HOME",73,62
"445","2014-12-27","LAC","TOR","AWAY",87,75
"446","2014-12-27","MIA","MEM","AWAY",63,60
"447","2014-12-27","MIL","ATL","AWAY",97,63
"448","2014-12-27","SAC","NYK","HOME",84,91
"449","2014-12-27","UTA","PHI","HOME",86,45
"450","2014-12-27","WAS","BOS","HOME",78,71
"451","2014-12-28","CLE","DET","AWAY",85,61
"452","2014-12-28","DAL","OKC","HOME",76,69
