"","DATE","HOME_TEAM","AWAY_TEAM","WINNER","0","1"
"453","2014-12-28","DEN","TOR","AWAY",95,80
"454","2014-12-28","LAL","PHX","AWAY",81,82
"455","2014-12-28","POR","NYK","HOME",91,58
"456","2014-12-28","SAS","HOU","HOME",64,62
"457","2014-12-29","BKN","SAC","HOME",77,72
"458","2014-12-29","CHA","MIL","AWAY",96,70
"459","2014-12-29","HOU","WAS","AWAY",69,69
"460","2014-12-29","IND","CHI","AWAY",89,58
"461","2014-12-29","LAC","UTA","HOME",92,71
"462","2014-12-29","MIA","ORL","AWAY",61,64
"463","2014-12-30","ATL","CLE","HOME",69,69
"464","2014-12-30","CHI","BKN","AWAY",82,59
"465","2014-12-30","DAL","WAS","HOME",65,64
"466","2014-12-30","DEN","LAL","AWAY",77,77
"467","2014-12-30","GSW","PHI","HOME",68,58
"468","2014-12-30","MEM","SAS","HOME",64,55
"469","2014-12-30","NOP","PHX","HOME",78,80
"470","2014-12-30","ORL","DET","AWAY",75,54
"471","2014-12-30","POR","TOR","HOME",106,76
"472","2014-12-30","UTA","MIN","HOME",73,71
"473","2014-12-31","BOS","SAC","HOME",91,65
"474","2014-12-31","CLE","MIL","AWAY",78,54
"475","2014-12-31","HOU","CHA","HOME",78,61
"476","2014-12-31","IND","MIA","HOME",70,57
"477","2014-12-31","LAC","NYK","HOME",82,60
"478","2014-12-31","OKC","PHX","HOME",86,64
"479","2014-12-31","SAS","NOP","HOME",89,62
"480","2015-01-01","CHI","DEN","HOME",99,71
"481","2015-01-01","MIN","SAC","AWAY",77,76
"482","2015-01-02","BOS","DAL","AWAY",84,66
"483","2015-01-02","CHA","CLE","AWAY",91,54
"484","2015-01-02","GSW","TOR","HOME",80,79
"485","2015-01-02","LAL","MEM","AWAY",72,74
"486","2015-01-02","MIL","IND","AWAY",92,72
"487","2015-01-02","NOP","HOU","HOME",66,64
"488","2015-01-02","NYK","DET","AWAY",72,53
"489","2015-01-02","OKC","WAS","HOME",78,68
"490","2015-01-02","ORL","BKN","AWAY",74,74
"491","2015-01-02","PHX","PHI","HOME",75,62
"492","2015-01-02","UTA","ATL","AWAY",93,60
"493","2015-01-03","CHI","BOS","HOME",104,71
"494","2015-01-03","DEN","MEM","HOME",64,66
"495","2015-01-03","HOU","MIA","HOME",60,53
"496","2015-01-03","LAC","PHI","HOME",67,63
"497","2015-01-03","MIN","UTA","AWAY",74,64
"498","2015-01-03","ORL","CHA","AWAY",91,66
"499","2015-01-03","POR","ATL","AWAY",88,79
"500","2015-01-03","SAS","WAS","HOME",72,69
"501","2015-01-04","CLE","DAL","AWAY",63,68
"502","2015-01-04","DET","SAC","HOME",80,69
"503","2015-01-04","LAL","IND","HOME",101,60
"504","2015-01-04","MIA","BKN","HOME",77,58
"505","2015-01-04","NYK","MIL","AWAY",66,49
"506","2015-01-04","PHX","TOR","HOME",75,78
"507","2015-01-05","BKN","DAL","AWAY",91,66
"508","2015-01-05","BOS","CHA","AWAY",79,58
"509","2015-01-05","CHI","HOU","HOME",85,75
"510","2015-01-05","GSW","OKC","HOME",83,57
"511","2015-01-05","LAC","ATL","AWAY",84,66
"512","2015-01-05","MEM","NYK","HOME",61,62
"513","2015-01-05","MIN","DEN","AWAY",84,83
"514","2015-01-05","NOP","WAS","AWAY",75,68
"515","2015-01-05","PHI","CLE","HOME",70,56
"516","2015-01-05","POR","LAL","HOME",93,63
"517","2015-01-05","UTA","IND","AWAY",75,69
"518","2015-01-06","MIL","PHX","AWAY",86,71
"519","2015-01-06","SAS","DET","AWAY",62,60
"520","2015-01-07","ATL","MEM","HOME",73,59
"521","2015-01-07","BKN","BOS","AWAY",88,61
"522","2015-01-07","CHA","NOP","HOME",83,68
"523","2015-01-07","CHI","UTA","AWAY",92,59
"524","2015-01-07","CLE","HOU","AWAY",80,59
"525","2015-01-07","DAL","DET","AWAY",91,74
"526","2015-01-07","DEN","ORL","HOME",86,62
"527","2015-01-07","GSW","IND","HOME",84,75
"528","2015-01-07","LAC","LAL","HOME",80,66
"529","2015-01-07","MIN","PHX","AWAY",96,90
"530","2015-01-07","PHI","MIL","AWAY",69,56
"531","2015-01-07","SAC","OKC","HOME",94,55
"532","2015-01-07","WAS","NYK","HOME",75,66
"533","2015-01-08","NYK","HOU","AWAY",61,61
"534","2015-01-08","POR","MIA","HOME",87,56
"535","2015-01-08","TOR","CHA","AWAY",95,74
"536","2015-01-09","BKN","PHI","AWAY",71,62
"537","2015-01-09","DET","ATL","AWAY",85,70
"538","2015-01-09","GSW","CLE","HOME",72,58
"539","2015-01-09","IND","BOS","HOME",105,63
"540","2015-01-09","LAL","ORL","HOME",82,51
"541","2015-01-09","MIL","MIN","HOME",71,61
"542","2015-01-09","NOP","MEM","HOME",82,66
"543","2015-01-09","OKC","UTA","HOME",70,54
"544","2015-01-09","SAC","DEN","AWAY",79,84
"545","2015-01-09","SAS","PHX","HOME",85,66
"546","2015-01-09","WAS","CHI","HOME",95,71
"547","2015-01-10","CHI","MIL","HOME",95,68
"548","2015-01-10","DET","BKN","HOME",82,65
"549","2015-01-10","HOU","UTA","HOME",58,50
"550","2015-01-10","LAC","DAL","HOME",76,79
"551","2015-01-10","MIN","SAS","AWAY",74,54
"552","2015-01-10","NYK","CHA","AWAY",68,59
"553","2015-01-10","PHI","IND","HOME",94,55
"554","2015-01-10","POR","ORL","HOME",81,56
"555","2015-01-10","TOR","BOS","HOME",90,76
"556","2015-01-11","ATL","WAS","HOME",80,76
"557","2015-01-11","LAC","MIA","AWAY",73,60
"558","2015-01-11","LAL","POR","AWAY",85,68
"559","2015-01-11","MEM","PHX","HOME",105,84
"560","2015-01-11","SAC","CLE","HOME",78,71
"561","2015-01-12","BKN","HOU","AWAY",58,67
"562","2015-01-12","BOS","NOP","HOME",83,51
"563","2015-01-12","CHI","ORL","AWAY",71,81
"564","2015-01-12","TOR","DET","AWAY",81,82
"565","2015-01-13","IND","MIN","AWAY",85,78
"566","2015-01-13","LAL","MIA","AWAY",98,49
"567","2015-01-13","PHI","ATL","AWAY",59,57
"568","2015-01-13","PHX","CLE","HOME",71,63
"569","2015-01-13","SAC","DAL","AWAY",99,71
"570","2015-01-13","UTA","GSW","AWAY",71,75
"571","2015-01-13","WAS","SAS","HOME",84,61
"572","2015-01-14","BKN","MEM","AWAY",76,67
"573","2015-01-14","BOS","ATL","AWAY",74,56
"574","2015-01-14","CHA","SAS","AWAY",86,60
"575","2015-01-14","CHI","WAS","AWAY",81,73
"576","2015-01-14","DEN","DAL","HOME",87,72
"577","2015-01-14","DET","NOP","AWAY",62,54
"578","2015-01-14","GSW","MIA","HOME",71,57
"579","2015-01-14","ORL","HOU","HOME",53,78
"580","2015-01-14","POR","LAC","AWAY",100,68
"581","2015-01-14","TOR","PHI","HOME",88,59
"582","2015-01-15","HOU","OKC","HOME",66,54
"583","2015-01-15","LAL","CLE","AWAY",65,66
"584","2015-01-16","BOS","CHI","AWAY",80,82
"585","2015-01-16","DAL","DEN","HOME",79,59
"586","2015-01-16","IND","DET","AWAY",89,60
"587","2015-01-16","LAC","CLE","AWAY",76,85
"588","2015-01-16","OKC","GSW","HOME",75,67
"589","2015-01-16","ORL","MEM","AWAY",80,71
"590","2015-01-16","PHI","NOP","HOME",70,56
"591","2015-01-16","PHX","MIN","HOME",85,80
"592","2015-01-16","SAC","MIA","AWAY",74,62
"593","2015-01-16","SAS","POR","HOME",75,64
"594","2015-01-16","TOR","ATL","AWAY",63,64
"595","2015-01-16","UTA","LAL","HOME",71,61
"596","2015-01-16","WAS","BKN","AWAY",81,66
"597","2015-01-17","BKN","WAS","AWAY",81,76
"598","2015-01-17","CHA","IND","HOME",115,60
"599","2015-01-17","CHI","ATL","AWAY",82,71
"600","2015-01-17","DEN","MIN","AWAY",85,73
"601","2015-01-17","DET","PHI","HOME",78,61
"602","2015-01-17","HOU","GSW","AWAY",73,66
"603","2015-01-17","MEM","POR","HOME",87,72
"604","2015-01-17","SAC","LAC","AWAY",82,81
"605","2015-01-18","ORL","OKC","AWAY",73,64
"606","2015-01-18","SAS","UTA","HOME",83,46
"607","2015-01-18","TOR","NOP","AWAY",58,55
"608","2015-01-19","ATL","DET","HOME",90,60
"609","2015-01-19","CHA","MIN","HOME",90,58
"610","2015-01-19","CLE","CHI","HOME",91,63
"611","2015-01-19","GSW","DEN","HOME",64,54
"612","2015-01-19","HOU","IND","HOME",67,64
"613","2015-01-19","LAC","BOS","HOME",88,69
"614","2015-01-19","MEM","DAL","AWAY",82,66
"615","2015-01-19","MIL","TOR","AWAY",80,62
"616","2015-01-19","NYK","NOP","HOME",64,52
"617","2015-01-19","PHX","LAL","HOME",73,70
"618","2015-01-19","POR","SAC","HOME",83,57
"619","2015-01-19","WAS","PHI","HOME",82,69
"620","2015-01-20","DEN","SAS","AWAY",76,66
"621","2015-01-20","MIA","OKC","AWAY",61,55
"622","2015-01-21","ATL","IND","HOME",81,66
"623","2015-01-21","CHA","MIA","HOME",106,55
"624","2015-01-21","CLE","UTA","HOME",69,65
"625","2015-01-21","DET","ORL","HOME",81,88
"626","2015-01-21","GSW","HOU","HOME",79,71
"627","2015-01-21","MEM","TOR","HOME",87,56
"628","2015-01-21","MIN","DAL","AWAY",73,56
"629","2015-01-21","NOP","LAL","HOME",77,52
"630","2015-01-21","PHI","NYK","AWAY",83,54
"631","2015-01-21","PHX","POR","HOME",80,75
"632","2015-01-21","SAC","BKN","AWAY",82,72
"633","2015-01-21","WAS","OKC","AWAY",103,64
"634","2015-01-22","CHI","SAS","HOME",70,55
"635","2015-01-22","LAC","BKN","HOME",61,63
"636","2015-01-22","MIL","UTA","AWAY",76,62
"637","2015-01-22","POR","BOS","AWAY",85,58
"638","2015-01-23","ATL","OKC","HOME",73,65
"639","2015-01-23","CLE","CHA","HOME",79,67
"640","2015-01-23","DAL","CHI","AWAY",75,71
"641","2015-01-23","DEN","BOS","AWAY",71,59
"642","2015-01-23","GSW","SAC","HOME",75,69
"643","2015-01-23","MIA","IND","HOME",80,57
"644","2015-01-23","MIN","NOP","AWAY",75,58
"645","2015-01-23","NYK","ORL","HOME",78,71
"646","2015-01-23","PHI","TOR","AWAY",82,59
"647","2015-01-23","PHX","HOU","AWAY",77,70
"648","2015-01-23","SAS","LAL","HOME",84,60
"649","2015-01-24","CHA","NYK","HOME",83,37
"650","2015-01-24","MEM","PHI","HOME",88,59
"651","2015-01-24","MIL","DET","HOME",81,61
"652","2015-01-24","POR","WAS","HOME",82,66
"653","2015-01-24","UTA","BKN","HOME",62,63
"654","2015-01-25","ATL","MIN","HOME",63,77
"655","2015-01-25","CHI","MIA","AWAY",98,63
"656","2015-01-25","CLE","OKC","HOME",71,51
"657","2015-01-25","DEN","WAS","AWAY",100,84
"658","2015-01-25","GSW","BOS","HOME",84,69
"659","2015-01-25","LAL","HOU","AWAY",73,57
"660","2015-01-25","NOP","DAL","HOME",66,61
"661","2015-01-25","ORL","IND","AWAY",67,67
"662","2015-01-25","PHX","LAC","AWAY",81,74
"663","2015-01-25","SAS","MIL","HOME",85,64
"664","2015-01-25","TOR","DET","HOME",63,70
"665","2015-01-26","LAC","DEN","HOME",77,74
"666","2015-01-26","MEM","ORL","HOME",75,63
"667","2015-01-26","NOP","PHI","HOME",78,59
"668","2015-01-26","OKC","MIN","HOME",81,56
"669","2015-01-26","UTA","BOS","AWAY",78,60
"670","2015-01-27","DAL","MEM","AWAY",65,69
"671","2015-01-27","DET","CLE","AWAY",82,63
"672","2015-01-27","GSW","CHI","AWAY",111,78
"673","2015-01-27","IND","TOR","AWAY",68,56
"674","2015-01-27","LAL","WAS","AWAY",74,66
"675","2015-01-27","MIA","MIL","AWAY",54,64
"676","2015-01-28","ATL","BKN","HOME",81,75
"677","2015-01-28","CLE","POR","HOME",82,55
"678","2015-01-28","HOU","DAL","HOME",72,54
"679","2015-01-28","MIN","BOS","HOME",59,57
"680","2015-01-28","NOP","DEN","AWAY",75,63
"681","2015-01-28","NYK","OKC","HOME",71,54
"682","2015-01-28","PHI","DET","HOME",70,55
"683","2015-01-28","PHX","WAS","HOME",94,69
"684","2015-01-28","SAS","CHA","HOME",87,66
"685","2015-01-28","TOR","SAC","HOME",71,72
"686","2015-01-28","UTA","LAC","AWAY",85,64
"687","2015-01-29","IND","NYK","HOME",59,52
"688","2015-01-29","LAL","CHI","HOME",105,85
"689","2015-01-29","MEM","DEN","HOME",83,60
"690","2015-01-29","ORL","MIL","AWAY",77,70
"691","2015-01-30","ATL","POR","HOME",86,74
"692","2015-01-30","BKN","TOR","AWAY",88,85
"693","2015-01-30","BOS","HOU","AWAY",86,47
"694","2015-01-30","CLE","SAC","HOME",82,57
"695","2015-01-30","MIA","DAL","AWAY",91,52
"696","2015-01-30","NOP","LAC","HOME",80,61
"697","2015-01-30","PHI","MIN","HOME",61,58
"698","2015-01-30","PHX","CHI","HOME",97,70
"699","2015-01-30","UTA","GSW","HOME",91,72
"700","2015-01-31","ATL","PHI","HOME",92,60
"701","2015-01-31","DEN","CHA","AWAY",79,64
"702","2015-01-31","DET","HOU","HOME",61,68
"703","2015-01-31","GSW","PHX","HOME",98,68
"704","2015-01-31","IND","SAC","AWAY",82,58
"705","2015-01-31","MEM","OKC","HOME",84,51
"706","2015-01-31","MIL","POR","HOME",88,59
"707","2015-01-31","MIN","CLE","AWAY",60,59
"708","2015-01-31","ORL","DAL","AWAY",67,68
"709","2015-01-31","SAS","LAC","AWAY",83,59
"710","2015-01-31","WAS","TOR","AWAY",75,76
"711","2015-02-01","BOS","MIA","AWAY",75,44
"712","2015-02-01","NYK","LAL","HOME",70,47
"713","2015-02-02","BKN","LAC","HOME",84,81
"714","2015-02-02","CLE","PHI","HOME",80,55
"715","2015-02-02","DAL","MIN","HOME",70,56
"716","2015-02-02","NOP","ATL","HOME",79,68
"717","2015-02-02","OKC","ORL","HOME",80,61
"718","2015-02-02","PHX","MEM","AWAY",87,70
"719","2015-02-02","TOR","MIL","AWAY",78,50
"720","2015-02-02","WAS","CHA","AWAY",90,70
"721","2015-02-03","DET","MIA","HOME",59,59
"722","2015-02-03","NYK","BOS","AWAY",56,65
"723","2015-02-03","PHI","DEN","HOME",78,55
"724","2015-02-03","POR","UTA","HOME",75,66
"725","2015-02-03","SAC","GSW","AWAY",78,77
"726","2015-02-04","ATL","WAS","HOME",85,71
"727","2015-02-04","BOS","DEN","HOME",91,64
"728","2015-02-04","GSW","DAL","HOME",95,86
"729","2015-02-04","HOU","CHI","HOME",91,62
"730","2015-02-04","IND","DET","HOME",58,64
"731","2015-02-04","MIL","LAL","HOME",86,78
"732","2015-02-04","MIN","MIA","HOME",53,44
"733","2015-02-04","NOP","OKC","AWAY",76,69
"734","2015-02-04","SAS","ORL","HOME",73,78
"735","2015-02-04","TOR","BKN","AWAY",73,66
"736","2015-02-04","UTA","MEM","AWAY",77,64
"737","2015-02-05","CHA","WAS","HOME",89,66
"738","2015-02-05","CLE","LAC","HOME",70,53
"739","2015-02-05","POR","PHX","HOME",90,61
"740","2015-02-05","SAC","DAL","AWAY",96,66
"741","2015-02-06","ATL","GSW","HOME",93,83
"742","2015-02-06","BKN","NYK","HOME",75,55
"743","2015-02-06","BOS","PHI","HOME",79,67
"744","2015-02-06","DET","DEN","HOME",80,57
"745","2015-02-06","HOU","MIL","HOME",69,67
"746","2015-02-06","IND","CLE","HOME",77,65
"747","2015-02-06","MIN","MEM","HOME",56,50
"748","2015-02-06","OKC","NOP","AWAY",58,63
"749","2015-02-06","ORL","LAL","HOME",73,66
"750","2015-02-06","PHX","UTA","HOME",78,69
"751","2015-02-06","SAS","MIA","HOME",73,63
"752","2015-02-06","TOR","LAC","HOME",57,66
"753","2015-02-07","DAL","POR","HOME",111,73
"754","2015-02-07","MIL","BOS","HOME",72,61
"755","2015-02-07","NOP","CHI","AWAY",75,63
"756","2015-02-07","NYK","GSW","AWAY",69,58
"757","2015-02-07","PHI","CHA","HOME",92,56
"758","2015-02-07","UTA","SAC","HOME",82,71
"759","2015-02-07","WAS","BKN","HOME",80,60
"760","2015-02-08","CHA","IND","AWAY",79,65
"761","2015-02-08","CLE","LAL","HOME",67,69
"762","2015-02-08","DET","MIN","AWAY",47,50
"763","2015-02-08","HOU","POR","AWAY",62,49
"764","2015-02-08","MEM","ATL","HOME",99,69
"765","2015-02-08","OKC","LAC","HOME",68,54
"766","2015-02-08","ORL","CHI","AWAY",80,70
"767","2015-02-08","SAC","PHX","HOME",94,59
"768","2015-02-08","TOR","SAS","HOME",88,55
"769","2015-02-09","DAL","LAC","AWAY",87,71
"770","2015-02-09","DEN","OKC","AWAY",57,63
"771","2015-02-09","IND","SAS","AWAY",86,60
"772","2015-02-09","MIA","NYK","HOME",64,56
"773","2015-02-09","MIL","BKN","HOME",83,71
"774","2015-02-09","MIN","ATL","AWAY",70,70
"775","2015-02-09","NOP","UTA","AWAY",78,54
"776","2015-02-09","PHI","GSW","AWAY",16,5
"777","2015-02-09","WAS","ORL","HOME",76,54
"778","2015-02-10","CHA","DET","AWAY",68,42
"779","2015-02-10","CHI","SAC","HOME",72,73
"780","2015-02-10","LAL","DEN","AWAY",67,69
"781","2015-02-10","MEM","BKN","HOME",88,71
"782","2015-02-10","PHX","HOU","AWAY",77,70
"783","2015-02-11","BOS","ATL","HOME",94,58
"784","2015-02-11","CLE","MIA","HOME",65,59
"785","2015-02-11","DAL","UTA","HOME",83,42
"786","2015-02-11","DET","SAS","AWAY",77,59
"787","2015-02-11","LAC","HOU","HOME",74,55
"788","2015-02-11","MIL","SAC","HOME",85,70
"789","2015-02-11","MIN","GSW","AWAY",77,49
"790","2015-02-11","NOP","IND","AWAY",50,51
"791","2015-02-11","OKC","MEM","HOME",79,48
"792","2015-02-11","ORL","NYK","HOME",63,44
"793","2015-02-11","POR","LAL","HOME",86,51
"794","2015-02-11","TOR","WAS","HOME",72,59
"795","2015-02-12","CHI","CLE","HOME",76,70
"796","2015-02-19","LAC","SAS","HOME",69,81
"797","2015-02-19","OKC","DAL","HOME",84,58
"798","2015-02-20","ATL","TOR","AWAY",98,58
"799","2015-02-20","DAL","HOU","HOME",81,60
"800","2015-02-20","DET","CHI","HOME",66,60
"801","2015-02-20","GSW","SAS","HOME",74,66
"802","2015-02-20","LAL","BKN","AWAY",80,68
"803","2015-02-20","MIL","DEN","HOME",82,54
"804","2015-02-20","MIN","PHX","HOME",55,57
"805","2015-02-20","NYK","MIA","AWAY",54,48
"806","2015-02-20","ORL","NOP","HOME",70,55
"807","2015-02-20","PHI","IND","AWAY",77,62
"808","2015-02-20","SAC","BOS","HOME",86,74
"809","2015-02-20","UTA","POR","HOME",75,55
"810","2015-02-20","WAS","CLE","AWAY",72,64
"811","2015-02-21","CHA","OKC","AWAY",91,74
"812","2015-02-21","CHI","PHX","HOME",80,75
"813","2015-02-21","HOU","TOR","HOME",71,38
"814","2015-02-21","LAC","SAC","HOME",92,61
"815","2015-02-21","MIA","NOP","AWAY",71,54
"816","2015-02-22","DAL","CHA","HOME",93,65
"817","2015-02-22","DET","WAS","HOME",83,69
"818","2015-02-22","IND","GSW","HOME",80,63
"819","2015-02-22","LAL","BOS","HOME",82,70
"820","2015-02-22","MIL","ATL","AWAY",86,61
"821","2015-02-22","NYK","CLE","AWAY",58,45
"822","2015-02-22","OKC","DEN","HOME",68,57
"823","2015-02-22","ORL","PHI","HOME",58,55
"824","2015-02-22","POR","MEM","AWAY",78,63
"825","2015-02-23","CHI","MIL","HOME",87,46
"826","2015-02-23","DEN","BKN","AWAY",66,53
"827","2015-02-23","HOU","MIN","HOME",54,37
"828","2015-02-23","LAC","MEM","AWAY",86,66
"829","2015-02-23","MIA","PHI","HOME",63,64
"830","2015-02-23","NOP","TOR","HOME",62,62
"831","2015-02-23","PHX","BOS","AWAY",82,63
"832","2015-02-23","UTA","SAS","HOME",84,59
"833","2015-02-24","DAL","TOR","HOME",68,66
"834","2015-02-24","DET","CLE","AWAY",62,56
"835","2015-02-24","OKC","IND","HOME",79,64
"836","2015-02-24","WAS","GSW","AWAY",76,85
"837","2015-02-25","ATL","DAL","HOME",80,64
"838","2015-02-25","BOS","NYK","HOME",54,45
"839","2015-02-25","CHI","CHA","AWAY",85,73
"840","2015-02-25","DEN","PHX","AWAY",67,45
"841","2015-02-25","HOU","LAC","HOME",73,59
"842","2015-02-25","MIL","PHI","HOME",54,50
"843","2015-02-25","MIN","WAS","HOME",70,45
"844","2015-02-25","NOP","BKN","HOME",70,63
"845","2015-02-25","ORL","MIA","AWAY",77,51
"846","2015-02-25","POR","SAS","HOME",82,68
"847","2015-02-25","SAC","MEM","HOME",87,69
"848","2015-02-25","UTA","LAL","AWAY",70,54
"849","2015-02-26","CLE","GSW","HOME",84,65
"850","2015-02-26","PHX","OKC","HOME",101,77
"851","2015-02-27","ATL","ORL","HOME",77,63
"852","2015-02-27","BOS","CHA","HOME",91,71
"853","2015-02-27","CHI","MIN","HOME",66,40
"854","2015-02-27","DEN","UTA","AWAY",52,43
"855","2015-02-27","DET","NYK","AWAY",65,49
"856","2015-02-27","HOU","BKN","HOME",69,52
"857","2015-02-27","IND","CLE","HOME",67,44
"858","2015-02-27","LAL","MIL","HOME",78,55
"859","2015-02-27","MEM","LAC","AWAY",85,68
"860","2015-02-27","NOP","MIA","HOME",52,49
"861","2015-02-27","PHI","WAS","HOME",82,45
"862","2015-02-27","POR","OKC","HOME",80,66
"863","2015-02-27","SAC","SAS","AWAY",82,69
"864","2015-02-27","TOR","GSW","AWAY",64,60
"865","2015-02-28","DAL","BKN","AWAY",75,68
"866","2015-02-28","MIA","ATL","AWAY",54,44
"867","2015-02-28","MIN","MEM","AWAY",47,60
"868","2015-02-28","NYK","TOR","HOME",49,44
"869","2015-02-28","PHX","SAS","AWAY",88,53
"870","2015-02-28","UTA","MIL","HOME",68,53
"871","2015-02-28","WAS","DET","HOME",63,52
"872","2015-03-01","BOS","GSW","AWAY",102,74
"873","2015-03-01","CHI","LAC","AWAY",102,63
"874","2015-03-01","DEN","NOP","AWAY",57,46
"875","2015-03-01","HOU","CLE","HOME",67,55
"876","2015-03-01","IND","PHI","HOME",69,38
"877","2015-03-01","LAL","OKC","AWAY",80,68
"878","2015-03-01","ORL","CHA","AWAY",73,60
"879","2015-03-01","SAC","POR","AWAY",83,69
"880","2015-03-02","BKN","GSW","HOME",84,78
"881","2015-03-02","DAL","NOP","HOME",63,58
"882","2015-03-02","MIA","PHX","HOME",71,51
"883","2015-03-02","MIN","LAC","AWAY",73,62
"884","2015-03-02","PHI","TOR","AWAY",50,50
"885","2015-03-03","ATL","HOU","HOME",77,60
"886","2015-03-03","CHA","LAL","HOME",72,67
"887","2015-03-03","CHI","WAS","HOME",83,64
"888","2015-03-03","CLE","BOS","HOME",77,56
"889","2015-03-03","DEN","MIL","HOME",72,55
"890","2015-03-03","MEM","UTA","AWAY",82,54
"891","2015-03-03","NYK","SAC","AWAY",63,59
"892","2015-03-04","BKN","CHA","AWAY",82,66
"893","2015-03-04","BOS","UTA","HOME",80,52
"894","2015-03-04","GSW","MIL","HOME",69,60
"895","2015-03-04","HOU","MEM","AWAY",66,64
"896","2015-03-04","IND","NYK","HOME",49,34
"897","2015-03-04","LAC","POR","AWAY",99,64
"898","2015-03-04","MIA","LAL","HOME",72,56
"899","2015-03-04","MIN","DEN","AWAY",52,45
"900","2015-03-04","NOP","DET","HOME",83,58
"901","2015-03-04","OKC","PHI","HOME",77,47
"902","2015-03-04","ORL","PHX","AWAY",66,66
"903","2015-03-04","SAS","SAC","HOME",80,68
"904","2015-03-04","TOR","CLE","AWAY",52,62
